Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-03-22,342.56,342.62,339.14,341.2,"11,640,100",0,1,46.340568386655,46.348685020538,45.877920255284,46.156591351958,"81,480,700"
2011-03-21,335.99,339.74,335.26,339.3,"14,621,500",0,1,45.45179697639,45.959086594121,45.353044597471,45.899564612307,"102,350,500"
2011-03-18,337.13,338.2,330,330.67,"26,900,500",0,1,45.60601302018,45.750759657773,44.641486360334,44.732122105369,"188,303,500"
2011-03-17,336.83,339.61,330.66,334.64,"23,550,800",0,1,45.565429850762,45.94150055404,44.730769333055,45.269172714007,"164,855,600"
2011-03-16,342,343,326.26,330.01,"41,500,400",0,1,46.264813137073,46.400090368468,44.135549514917,44.642839132648,"290,502,800"
2011-03-15,342.1,347.84,340.1,345.43,"25,752,900",0,1,46.278340860213,47.05483216842,46.007786397423,46.728814040758,"180,270,300"
2011-03-14,353.18,356.48,351.31,353.56,"15,569,900",0,1,47.777212584069,48.223627447672,47.52424416136,47.828617931999,"108,989,300"
2011-03-11,345.33,352.32,345,351.99,"16,824,300",0,1,46.715286317619,47.660874165069,46.670644831258,47.616232678709,"117,770,100"
2011-03-10,349.12,349.77,344.9,346.67,"18,126,400",0,1,47.227987024606,47.315917225012,46.657117108119,46.896557807688,"126,884,800"
2011-03-09,354.69,354.76,350.6,352.47,"16,189,500",0,1,47.981481203475,47.990950609673,47.42819732707,47.681165749779,"113,326,500"
2011-03-08,354.91,357.4,352.25,355.76,"12,725,600",0,1,48.011242194382,48.348082500556,47.651404758872,48.126227841068,"89,079,200"
2011-03-07,361.4,361.67,351.31,355.36,"19,504,400",0,1,48.889191426136,48.925716278612,47.52424416136,48.07211694851,"136,530,800"
2011-03-04,360.07,360.29,357.75,360,"16,188,100",0,1,48.70927270838,48.739033699287,48.395429531544,48.699803302183,"113,316,700"
2011-03-03,357.19,359.79,355.92,359.56,"17,885,300",0,1,48.319674281963,48.67139508359,48.147872198091,48.640281320369,"125,197,100"
2011-03-02,349.96,354.35,348.4,352.12,"21,521,100",0,1,47.341619898977,47.935486944801,47.130587418001,47.63381871879,"150,647,700"
2011-03-01,355.47,355.72,347.68,349.31,"16,290,600",0,1,48.086997443963,48.120816751812,47.033187811397,47.253689698571,"114,034,200"
2011-02-28,351.24,355.05,351.12,353.21,"14,395,500",0,1,47.514774755163,48.030181006778,47.498541487395,47.781270901011,"100,768,500"
2011-02-25,345.26,348.43,344.8,348.16,"13,572,100",0,1,46.705816911421,47.134645734943,46.643589384979,47.098120882466,"95,004,700"
2011-02-24,344.02,345.15,338.37,342.88,"17,853,600",0,1,46.538073144491,46.690936415968,45.77375678711,46.383857100701,"124,975,200"
2011-02-23,338.77,344.64,338.61,342.62,"23,994,800",0,1,45.827867679668,46.621945027956,45.806223322645,46.348685020538,"167,963,600"
2011-02-22,342.15,345.4,337.72,338.61,"31,162,700",0,1,46.285104721783,46.724755723816,45.685826586703,45.806223322645,"218,138,900"
2011-02-18,358.71,359.5,349.52,350.56,"29,144,900",0,1,48.525295673683,48.632164686485,47.282097917163,47.422786237814,"204,014,300"
2011-02-17,357.25,360.27,356.52,358.3,"18,949,400",0,1,48.327790915846,48.736328154659,48.229038536928,48.469832008811,"132,645,800"
2011-02-16,360.8,364.9,360.5,363.13,"17,184,200",0,1,48.808025087299,49.362661736018,48.76744191788,49.123221036449,"120,289,400"
2011-02-15,359.19,359.97,357.55,359.9,"10,149,100",0,1,48.590228744753,48.695744985241,48.368374085265,48.686275579043,"71,043,700"
2011-02-14,356.79,359.48,356.71,359.18,"11,086,300",0,1,48.265563389405,48.629459141857,48.254741210893,48.588875972439,"77,604,100"
2011-02-11,354.75,357.8,353.54,356.85,"13,127,600",0,1,47.989597837359,48.402193393114,47.825912387371,48.273680023288,"91,893,200"
2011-02-10,357.39,360,348,354.54,"33,162,500",0,1,48.346729728242,48.699803302183,47.076476525443,47.961189618766,"232,137,500"
2011-02-09,355.19,359,354.87,358.16,"17,240,900",0,1,48.049119819173,48.564526070788,48.005831105126,48.450893196416,"120,686,300"
2011-02-08,353.68,355.52,352.15,355.2,"13,608,600",0,1,47.844851199767,48.093761305533,47.637877035732,48.050472591487,"95,260,200"
2011-02-07,347.89,353.25,347.64,351.88,"17,322,200",0,1,47.06159602999,47.786681990267,47.027776722141,47.601352183256,"121,255,400"
2011-02-04,343.64,346.7,343.51,346.5,"11,494,300",0,1,46.486667796561,46.90061612463,46.46908175648,46.873560678351,"80,460,100"
2011-02-03,343.8,344.24,338.55,343.44,"14,064,200",0,1,46.508312153584,46.567834135398,45.798106688761,46.459612350282,"98,449,400"
2011-02-02,344.45,345.25,343.55,344.32,"9,248,400",0,1,46.596242353991,46.704464139107,46.474492845736,46.57865631391,"64,738,800"
2011-02-01,341.3,345.65,340.98,345.03,"15,236,900",0,1,46.170119075097,46.758575031665,46.126830361051,46.6747031482,"106,658,300"
2011-01-31,335.8,340.04,334.3,339.32,"13,473,100",0,1,45.426094302425,45.999669763539,45.223178455332,45.902270156935,"94,311,700"
2011-01-28,344.17,344.4,333.53,336.1,"21,144,900",0,1,46.558364729201,46.589478492421,45.119014987158,45.466677471843,"148,014,300"
2011-01-27,343.78,344.69,342.83,343.21,"10,179,500",0,1,46.505606608956,46.628708889526,46.377093239131,46.428498587061,"71,256,500"
2011-01-26,342.96,345.6,341.5,343.85,"18,102,700",0,1,46.394679279213,46.751811170095,46.197174521376,46.515076015154,"126,718,900"
2011-01-25,336.33,341.44,334.57,341.4,"19,531,000",0,1,45.497791235064,46.189057887492,45.259703307809,46.183646798236,"136,717,000"
2011-01-24,326.87,337.45,326.72,337.45,"20,524,400",0,1,44.218068626068,45.649301734226,44.197777041359,45.649301734226,"143,670,800"
2011-01-21,333.77,334.88,326.63,326.72,"26,942,900",0,1,45.151481522693,45.301639249541,44.185602090533,44.197777041359,"188,600,300"
2011-01-20,336.43,338.3,330.12,332.68,"27,313,900",0,1,45.511318958204,45.764287380912,44.657719628101,45.004029340473,"191,197,300"
2011-01-19,348.35,348.6,336.88,338.84,"40,557,600",0,1,47.123823556431,47.15764286428,45.572193712331,45.837337085865,"283,903,200"
2011-01-18,329.52,344.76,326,340.65,"67,178,500",0,1,44.576553289264,46.638178295724,44.100377434754,46.08218887469,"470,249,500"
2011-01-14,345.89,348.48,344.44,348.48,"11,030,000",0,1,46.7910415672,47.141409596513,46.594889581677,47.141409596513,"77,210,000"
2011-01-13,345.16,346.64,343.85,345.68,"10,599,300",0,1,46.692289188282,46.892499490746,46.515076015154,46.762633348607,"74,195,100"
2011-01-12,343.25,344.43,342,344.42,"10,806,800",0,1,46.433909676317,46.593536809363,46.264813137073,46.592184037049,"75,647,600"
2011-01-11,344.88,344.96,339.47,341.64,"15,861,000",0,1,46.654411563491,46.665233742003,45.922561741644,46.216113333771,"111,027,000"
2011-01-10,338.83,343.23,337.17,342.45,"16,020,000",0,1,45.835984313551,46.431204131689,45.611424109436,46.325687891201,"112,140,000"
2011-01-07,333.99,336.35,331.9,336.12,"11,140,400",0,1,45.1812425136,45.500496779692,44.898513099984,45.469383016471,"77,982,800"
2011-01-06,334.72,335.25,332.9,333.73,"10,729,600",0,1,45.279994892518,45.351691825158,45.033790331379,45.146070433437,"75,107,200"
2011-01-05,329.55,334.34,329.5,334,"9,125,700",0,1,44.580611606206,45.228589544588,44.573847744637,45.182595285914,"63,879,900"
2011-01-04,332.44,332.5,328.15,331.29,"11,038,600",0,1,44.971562804938,44.979679438821,44.391223482253,44.815993988834,"77,270,200"
2011-01-03,325.64,330.26,324.84,329.57,"15,897,800",0,1,44.051677631452,44.676658440497,43.943455846336,44.583317150834,"111,284,600"
2010-12-31,322.95,323.48,321.31,322.56,"6,911,000",0,1,43.687781879,43.759478811639,43.465927219512,43.635023758756,"48,377,000"
2010-12-30,325.48,325.51,323.05,323.66,"5,624,800",0,1,44.030033274429,44.034091591371,43.701309602139,43.78382871329,"39,373,600"
2010-12-29,326.22,326.45,325.1,325.29,"5,826,400",0,1,44.130138425661,44.161252188882,43.978627926499,44.004330600464,"40,784,800"
2010-12-28,325.91,326.66,325.06,325.47,"6,283,000",0,1,44.088202483929,44.189660407475,43.973216837243,44.028680502115,"43,981,000"
2010-12-27,322.85,325.44,321.52,324.68,"8,922,000",0,1,43.67425415586,44.024622185173,43.494335438105,43.921811489313,"62,454,000"
2010-12-23,325,325.15,323.17,323.6,"7,969,900",0,1,43.965100203359,43.985391788069,43.717542869907,43.775712079406,"55,789,300"
2010-12-22,324.36,325.72,323.55,325.16,"9,497,200",0,1,43.878522775267,44.062499809964,43.768948217837,43.986744560382,"66,480,400"
2010-12-21,323,324.39,322.05,324.2,"9,155,500",0,1,43.694545740569,43.882581092208,43.566032370744,43.856878418243,"64,088,500"
2010-12-20,321.6,323.25,318.23,322.21,"13,771,800",0,1,43.505157616616,43.728365048418,43.049273346815,43.587676727767,"96,402,600"
2010-12-17,321.63,321.79,320.23,320.61,"13,818,900",0,1,43.509215933558,43.530860290581,43.319827809605,43.371233157535,"96,732,300"
2010-12-16,321.09,322.61,320.1,321.25,"11,501,100",0,1,43.436166228605,43.641787620325,43.302241769524,43.457810585628,"80,507,700"
2010-12-15,320,323,319.19,320.36,"14,904,000",0,1,43.288714046385,43.694545740569,43.179139488955,43.337413849687,"104,328,000"
2010-12-14,321.73,322.54,319,320.29,"12,536,000",0,1,43.522743656698,43.632318214128,43.15343681499,43.327944443489,"87,752,000"
2010-12-13,324.37,325.06,321,321.67,"15,707,700",0,1,43.87987554758,43.973216837243,43.423991277779,43.514627022814,"109,953,900"
2010-12-10,319.65,321.05,318.6,320.56,"9,375,400",0,1,43.241367015396,43.430755139349,43.099325922432,43.364469295966,"65,627,800"
2010-12-09,322.13,322.5,319.02,319.76,"10,505,400",0,1,43.576854549256,43.626907124872,43.156142359617,43.25624751085,"73,537,800"
2010-12-08,319.63,321.02,317.11,321.01,"11,497,700",0,1,43.238661470768,43.426696822407,42.897762847653,43.425344050093,"80,483,900"
2010-12-07,323.8,323.99,318.12,318.21,"13,980,500",0,1,43.802767525685,43.82847019965,43.034392851362,43.046567802188,"97,863,500"
2010-12-06,318.64,322.33,318.42,320.15,"16,017,200",0,1,43.104737011687,43.603909995535,43.074976020781,43.309005631094,"112,120,400"
2010-12-03,317.01,318.65,316.34,317.44,"12,217,600",0,1,42.884235124514,43.106089784001,42.793599379479,42.942404334013,"85,523,200"
2010-12-02,317.53,319,314.89,318.15,"16,529,900",0,1,42.954579284839,43.15343681499,42.597447393956,43.038451168304,"115,709,300"
2010-12-01,315.27,317.75,315,316.4,"16,491,100",0,1,42.648852741886,42.984340275746,42.61232788941,42.801716013363,"115,437,700"
2010-11-30,313.54,314.36,310.87,311.15,"17,923,500",0,1,42.414823131573,42.525750461317,42.053632923749,42.091510548539,"125,464,500"
2010-11-29,315.5,317.48,311.38,316.87,"15,920,900",0,1,42.679966505107,42.947815423269,42.12262431176,42.865296312118,"111,446,300"
2010-11-26,313.74,317.7,312.94,315,"8,485,200",0,1,42.441878577852,42.977576414176,42.333656792736,42.61232788941,"59,396,400"
